iso3c,country,year,indicator,value
CHN,China,1995,NE.TRD.GNFS.ZS,34.1049521589323
CHN,China,1995,NY.GDP.MKTP.CD,738190896227.55
CHN,China,1995,NE.EXP.GNFS.ZS,17.8624291729756
CHN,China,1995,NE.IMP.GNFS.ZS,16.2425229859567
CHN,China,1996,NE.TRD.GNFS.ZS,33.6287512313005
CHN,China,1996,NY.GDP.MKTP.CD,868523936530.083
CHN,China,1996,NE.EXP.GNFS.ZS,17.8247104643429
CHN,China,1996,NE.IMP.GNFS.ZS,15.8040407669576
CHN,China,1997,NE.TRD.GNFS.ZS,34.3135763220021
CHN,China,1997,NY.GDP.MKTP.CD,967753570434.667
CHN,China,1997,NE.EXP.GNFS.ZS,19.3692945938508
CHN,China,1997,NE.IMP.GNFS.ZS,14.9442817281513
CHN,China,1998,NE.TRD.GNFS.ZS,32.1717399357488
CHN,China,1998,NY.GDP.MKTP.CD,1037134141760.35
CHN,China,1998,NE.EXP.GNFS.ZS,18.1992267514817
CHN,China,1998,NE.IMP.GNFS.ZS,13.9725131842671
CHN,China,1999,NE.TRD.GNFS.ZS,33.2255380760054
CHN,China,1999,NY.GDP.MKTP.CD,1103843203575.64
CHN,China,1999,NE.EXP.GNFS.ZS,18.0006905864312
CHN,China,1999,NE.IMP.GNFS.ZS,15.2248474895742
CHN,China,2000,NE.TRD.GNFS.ZS,39.0109424774998
CHN,China,2000,NY.GDP.MKTP.CD,1223754919971.05
CHN,China,2000,NE.EXP.GNFS.ZS,20.681599363293
CHN,China,2000,NE.IMP.GNFS.ZS,18.3293431142068
CHN,China,2001,NE.TRD.GNFS.ZS,38.0826469518334
CHN,China,2001,NY.GDP.MKTP.CD,1355036590251.52
CHN,China,2001,NE.EXP.GNFS.ZS,20.0776873829946
CHN,China,2001,NE.IMP.GNFS.ZS,18.0049595688389
CHN,China,2002,NE.TRD.GNFS.ZS,42.1944423387413
CHN,China,2002,NY.GDP.MKTP.CD,1489821682050.54
CHN,China,2002,NE.EXP.GNFS.ZS,22.3518233715808
CHN,China,2002,NE.IMP.GNFS.ZS,19.8426189671605
CHN,China,2003,NE.TRD.GNFS.ZS,51.0774801301803
CHN,China,2003,NY.GDP.MKTP.CD,1683903309843.85
CHN,China,2003,NE.EXP.GNFS.ZS,26.6023738514511
CHN,China,2003,NE.IMP.GNFS.ZS,24.4751062787292
CHN,China,2004,NE.TRD.GNFS.ZS,58.640334040843904
CHN,China,2004,NY.GDP.MKTP.CD,1984196551300.44
CHN,China,2004,NE.EXP.GNFS.ZS,30.6097162464404
CHN,China,2004,NE.IMP.GNFS.ZS,28.0306177944035
CHN,China,2005,NE.TRD.GNFS.ZS,61.3600749408237
CHN,China,2005,NY.GDP.MKTP.CD,2317551298052.05
CHN,China,2005,NE.EXP.GNFS.ZS,33.3687977498922
CHN,China,2005,NE.IMP.GNFS.ZS,27.9912771909315
CHN,China,2006,NE.TRD.GNFS.ZS,63.5695798621627
CHN,China,2006,NY.GDP.MKTP.CD,2791498472804.33
CHN,China,2006,NE.EXP.GNFS.ZS,35.5268468681701
CHN,China,2006,NE.IMP.GNFS.ZS,28.0427329939926
CHN,China,2007,NE.TRD.GNFS.ZS,61.2664640006176
CHN,China,2007,NY.GDP.MKTP.CD,3604055822571.63
CHN,China,2007,NE.EXP.GNFS.ZS,34.9066956194649
CHN,China,2007,NE.IMP.GNFS.ZS,26.3597683811527
CHN,China,2008,NE.TRD.GNFS.ZS,56.7111330003209
CHN,China,2008,NY.GDP.MKTP.CD,4667346414521.95
CHN,China,2008,NE.EXP.GNFS.ZS,32.092513602143
CHN,China,2008,NE.IMP.GNFS.ZS,24.6186193981779
CHN,China,2009,NE.TRD.GNFS.ZS,44.4197644331119
CHN,China,2009,NY.GDP.MKTP.CD,5189577094997.58
CHN,China,2009,NE.EXP.GNFS.ZS,24.3307718125403
CHN,China,2009,NE.IMP.GNFS.ZS,20.0889926205716
CHN,China,2010,NE.TRD.GNFS.ZS,49.8540722338977
CHN,China,2010,NY.GDP.MKTP.CD,6192564874453.29
CHN,China,2010,NE.EXP.GNFS.ZS,26.7227451502469
CHN,China,2010,NE.IMP.GNFS.ZS,23.1313270836509
CHN,China,2011,NE.TRD.GNFS.ZS,49.9458272253643
CHN,China,2011,NY.GDP.MKTP.CD,7671757207851.29
CHN,China,2011,NE.EXP.GNFS.ZS,26.1518828948759
CHN,China,2011,NE.IMP.GNFS.ZS,23.7939443304884
CHN,China,2012,NE.TRD.GNFS.ZS,47.4802130784317
CHN,China,2012,NY.GDP.MKTP.CD,8673664713189.24
CHN,China,2012,NE.EXP.GNFS.ZS,25.07670432956
CHN,China,2012,NE.IMP.GNFS.ZS,22.4035087488717
CHN,China,2013,NE.TRD.GNFS.ZS,45.9160413795571
CHN,China,2013,NY.GDP.MKTP.CD,9743124247267.24
CHN,China,2013,NE.EXP.GNFS.ZS,24.1633430905854
CHN,China,2013,NE.IMP.GNFS.ZS,21.7526982889717
CHN,China,2014,NE.TRD.GNFS.ZS,44.0684564812532
CHN,China,2014,NY.GDP.MKTP.CD,10674533168257.4
CHN,China,2014,NE.EXP.GNFS.ZS,23.0719766947263
CHN,China,2014,NE.IMP.GNFS.ZS,20.9964797865269
CHN,China,2015,NE.TRD.GNFS.ZS,38.6971848362625
CHN,China,2015,NY.GDP.MKTP.CD,11280814787468.9
CHN,China,2015,NE.EXP.GNFS.ZS,20.9390642234326
CHN,China,2015,NE.IMP.GNFS.ZS,17.7581206128298
CHN,China,2016,NE.TRD.GNFS.ZS,36.177170692978
CHN,China,2016,NY.GDP.MKTP.CD,11456024084962
CHN,China,2016,NE.EXP.GNFS.ZS,19.2036507365412
CHN,China,2016,NE.IMP.GNFS.ZS,16.9735199564368
CHN,China,2017,NE.TRD.GNFS.ZS,36.95085261586
CHN,China,2017,NY.GDP.MKTP.CD,12537559062282.9
CHN,China,2017,NE.EXP.GNFS.ZS,19.3356301657728
CHN,China,2017,NE.IMP.GNFS.ZS,17.6152224500872
CHN,China,2018,NE.TRD.GNFS.ZS,36.8943843914718
CHN,China,2018,NY.GDP.MKTP.CD,14147765772963.8
CHN,China,2018,NE.EXP.GNFS.ZS,18.770519802938
CHN,China,2018,NE.IMP.GNFS.ZS,18.1238645885338
CHN,China,2019,NE.TRD.GNFS.ZS,35.4544350281407
CHN,China,2019,NY.GDP.MKTP.CD,14560167101283.4
CHN,China,2019,NE.EXP.GNFS.ZS,18.1398222864053
CHN,China,2019,NE.IMP.GNFS.ZS,17.3146127417354
CHN,China,2020,NE.TRD.GNFS.ZS,34.337778473884
CHN,China,2020,NY.GDP.MKTP.CD,14996414166715.1
CHN,China,2020,NE.EXP.GNFS.ZS,18.2696013805051
CHN,China,2020,NE.IMP.GNFS.ZS,16.0681770933789
CHN,China,2021,NE.TRD.GNFS.ZS,36.6428789643754
CHN,China,2021,NY.GDP.MKTP.CD,18201698719564
CHN,China,2021,NE.EXP.GNFS.ZS,19.4350556514909
CHN,China,2021,NE.IMP.GNFS.ZS,17.2078233128845
CHN,China,2022,NE.TRD.GNFS.ZS,37.512555678171
CHN,China,2022,NY.GDP.MKTP.CD,18316765021690.2
CHN,China,2022,NE.EXP.GNFS.ZS,20.227756033041
CHN,China,2022,NE.IMP.GNFS.ZS,17.28479964513
CHN,China,2023,NE.TRD.GNFS.ZS,36.7391496938394
CHN,China,2023,NY.GDP.MKTP.CD,18270356654533.2
CHN,China,2023,NE.EXP.GNFS.ZS,19.4023091648376
CHN,China,2023,NE.IMP.GNFS.ZS,17.3368405290018
CHN,China,2024,NE.TRD.GNFS.ZS,37.9560601372544
CHN,China,2024,NY.GDP.MKTP.CD,18729668435848
CHN,China,2024,NE.EXP.GNFS.ZS,20.4428283665891
CHN,China,2024,NE.IMP.GNFS.ZS,17.5132317706653
CHN,China,2025,NE.TRD.GNFS.ZS,37.9563878652312
CHN,China,2025,NY.GDP.MKTP.CD,19498039388042.6
CHN,China,2025,NE.EXP.GNFS.ZS,21.0711983566772
CHN,China,2025,NE.IMP.GNFS.ZS,16.8851895085539
EUU,European Union,1995,NE.TRD.GNFS.ZS,57.0668787743219
EUU,European Union,1995,NY.GDP.MKTP.CD,8292479629104.28
EUU,European Union,1995,NE.EXP.GNFS.ZS,28.3225426619228
EUU,European Union,1995,NE.IMP.GNFS.ZS,26.581346253404
EUU,European Union,1996,NE.TRD.GNFS.ZS,57.8181211887127
EUU,European Union,1996,NY.GDP.MKTP.CD,8427282888819.22
EUU,European Union,1996,NE.EXP.GNFS.ZS,28.6560898426167
EUU,European Union,1996,NE.IMP.GNFS.ZS,26.7514495355429
EUU,European Union,1997,NE.TRD.GNFS.ZS,61.9223710621903
EUU,European Union,1997,NY.GDP.MKTP.CD,7730067215825.26
EUU,European Union,1997,NE.EXP.GNFS.ZS,30.9387982784542
EUU,European Union,1997,NE.IMP.GNFS.ZS,28.7330928075401
EUU,European Union,1998,NE.TRD.GNFS.ZS,63.2476873528377
